title,link,published,category
На Украине назвали Киев городом-призраком,https://lenta.ru/news/2022/12/26/kievgorod/,"Mon, 26 Dec 2022 18:53:00 +0300",Бывший СССР
Бесплодная женщина забеременела благодаря обещанию сестры,https://lenta.ru/news/2022/12/26/sisters_gift/,"Mon, 26 Dec 2022 18:52:00 +0300",Из жизни
Крупную компанию по производству лифтов переименовали в России,https://lenta.ru/news/2022/12/26/lift_name/,"Mon, 26 Dec 2022 18:50:00 +0300",Среда обитания
Путин утвердил порядок подачи заявлений о нежелании быть гражданином Украины,https://lenta.ru/news/2022/12/26/grazhdanin/,"Mon, 26 Dec 2022 18:49:00 +0300",Россия
Украина захотела приостановить сотрудничество с Россией в сфере миграции,https://lenta.ru/news/2022/12/26/ukrsotrud/,"Mon, 26 Dec 2022 18:47:00 +0300",Бывший СССР
Назван виновник конфликта между Большуновым и Устюговым,https://lenta.ru/news/2022/12/26/ski_konflikt/,"Mon, 26 Dec 2022 18:46:00 +0300",Спорт
Еще одна российская авиакомпания отменила все рейсы в Египет,https://lenta.ru/news/2022/12/26/ifly_egypt/,"Mon, 26 Dec 2022 18:38:00 +0300",Путешествия
20-летний призывник ранил себя на глазах у матери в российском военкомате,https://lenta.ru/news/2022/12/26/ranil_syktyvkar/,"Mon, 26 Dec 2022 18:36:47 +0300",Россия
Военкор описал обстановку в районе Марьинки в ДНР,https://lenta.ru/news/2022/12/26/mari/,"Mon, 26 Dec 2022 18:35:44 +0300",Россия
Названы самые продаваемые художественные книги 2022 года,https://lenta.ru/news/2022/12/26/knigi2022/,"Mon, 26 Dec 2022 18:34:45 +0300",Культура
Россиян предупредили об опасных последствиях нехватки солнца,https://lenta.ru/news/2022/12/26/sun/,"Mon, 26 Dec 2022 18:32:14 +0300",Забота о себе
В Челябинске распечатали на 3D-принтере памятник лабораторной крысе,https://lenta.ru/news/2022/12/26/krisik/,"Mon, 26 Dec 2022 18:30:53 +0300",Моя страна
Столтенберг анонсировал вступление Швеции и Финляндии в НАТО в 2023 году,https://lenta.ru/news/2022/12/26/stoltenbergannounces/,"Mon, 26 Dec 2022 18:30:00 +0300",Мир
В Росавиации объяснили задержание недавно принятого на работу сотрудника,https://lenta.ru/news/2022/12/26/sledstv/,"Mon, 26 Dec 2022 18:29:00 +0300",Россия
Российским путешественникам рассказали о новых туристических налогах в 2023 году,https://lenta.ru/news/2022/12/26/nalog/,"Mon, 26 Dec 2022 18:25:09 +0300",Путешествия
В новой рекламе Gucci разглядели отсылки к России,https://lenta.ru/news/2022/12/26/guccirussia/,"Mon, 26 Dec 2022 18:24:41 +0300",Ценности
Российская порноактриса пожаловалась на свадебный подарок родителей,https://lenta.ru/news/2022/12/26/ally/,"Mon, 26 Dec 2022 18:24:08 +0300",Интернет и СМИ
В России в 2022 году изъяли около девяти тонн марихуаны,https://lenta.ru/news/2022/12/26/mar/,"Mon, 26 Dec 2022 18:19:00 +0300",Силовые структуры
В Росавиации прокомментировали сообщения об обыске у главы ведомства,https://lenta.ru/news/2022/12/26/oprrovv/,"Mon, 26 Dec 2022 18:15:00 +0300",Россия
Известная российская певица раскрыла подробности о квартире для годовалого сына,https://lenta.ru/news/2022/12/26/julianna_son/,"Mon, 26 Dec 2022 18:15:00 +0300",Среда обитания
На Кавказе восстановят высокогорную гостиницу СССР,https://lenta.ru/news/2022/12/26/priyut11/,"Mon, 26 Dec 2022 18:11:00 +0300",Моя страна
Захарова предупредила об угрозе масштабного конфликта в Косово,https://lenta.ru/news/2022/12/26/kosovo_conflict/,"Mon, 26 Dec 2022 18:05:00 +0300",Мир
Компьютерная программа создала из ДНК крошечные вазы и чаши,https://lenta.ru/news/2022/12/26/dnaxis/,"Mon, 26 Dec 2022 18:03:00 +0300",Технологии
В Раде заявили об обысках у главы администрации Днепропетровской области,https://lenta.ru/news/2022/12/26/obiskdnepr/,"Mon, 26 Dec 2022 18:01:00 +0300",Бывший СССР
Восемь машин столкнулись в ДТП под Москвой,https://lenta.ru/news/2022/12/26/dtp/,"Mon, 26 Dec 2022 18:00:00 +0300",Россия
Стала известна позиция ФИФА по участию России в отборе на ЧМ-2026,https://lenta.ru/news/2022/12/26/fifa_rus/,"Mon, 26 Dec 2022 17:58:00 +0300",Спорт
Компания друзей оставила официантке 150 тысяч рублей чаевых в честь праздников,https://lenta.ru/news/2022/12/26/bigtips/,"Mon, 26 Dec 2022 17:58:00 +0300",Из жизни
Стала известна стоимость нового электрического «Москвича»,https://lenta.ru/news/2022/12/26/moskvichnoo/,"Mon, 26 Dec 2022 17:58:00 +0300",Экономика
Убившая детей из-за «вселившихся в них бесов» россиянка оставила мужу записку,https://lenta.ru/news/2022/12/26/zapiska/,"Mon, 26 Dec 2022 17:56:00 +0300",Россия
Популярный блогер усомнился в честности розыгрышей гаджетов в соцсетях,https://lenta.ru/news/2022/12/26/petuhov/,"Mon, 26 Dec 2022 17:54:00 +0300",Интернет и СМИ
В США усомнились в существовании Украины как государства,https://lenta.ru/news/2022/12/26/ukrainanebudet/,"Mon, 26 Dec 2022 17:52:00 +0300",Мир
Возлюбленная Роналду показала на видео роскошный подарок футболисту на Рождество,https://lenta.ru/news/2022/12/26/giftedpartner1/,"Mon, 26 Dec 2022 17:52:00 +0300",Ценности
В Екатеринбурге мать убила троих детей при помощи провода,https://lenta.ru/news/2022/12/26/ekb/,"Mon, 26 Dec 2022 17:51:00 +0300",Силовые структуры
Диетолог дала совет по выбору рыбы для новогоднего стола,https://lenta.ru/news/2022/12/26/ryba/,"Mon, 26 Dec 2022 17:49:00 +0300",Забота о себе
В США десятки человек погибли из-за снежной бури,https://lenta.ru/news/2022/12/26/50_usa/,"Mon, 26 Dec 2022 17:39:00 +0300",Мир
В России исключили новогоднее перемирие с Украиной,https://lenta.ru/news/2022/12/26/bez_peremiriya/,"Mon, 26 Dec 2022 17:38:59 +0300",Бывший СССР
Путин назначил Медведева на должность своего первого заместителя в ВПК,https://lenta.ru/news/2022/12/26/putttin/,"Mon, 26 Dec 2022 17:36:00 +0300",Россия
Зеленский рассказал о переговорах с премьером Индии,https://lenta.ru/news/2022/12/26/ze_peace/,"Mon, 26 Dec 2022 17:30:39 +0300",Бывший СССР
