	title	link	published	category
61	Переехавшая в Аргентину россиянка описала страну фразой «жизнь тут не танго»	https://lenta.ru/news/2022/12/25/argentina/	Sun, 25 Dec 2022 14:38:00 +0300	Путешествия
62	57-летняя актриса снялась в откровенном наряде в честь Рождества	https://lenta.ru/news/2022/12/25/eliza/	Sun, 25 Dec 2022 14:32:00 +0300	Ценности
63	«Человек-слон» рассказал о своем заболевании	https://lenta.ru/news/2022/12/25/elephant_man/	Sun, 25 Dec 2022 14:31:00 +0300	Ценности
64	Турция и Россия обсудили открытие воздушного пространства Сирии для ВВС	https://lenta.ru/news/2022/12/25/turkish_rus/	Sun, 25 Dec 2022 14:27:00 +0300	Россия
65	Раздачу повесток на улицах Украины сняли на видео	https://lenta.ru/news/2022/12/25/povestka_ukr/	Sun, 25 Dec 2022 14:17:00 +0300	Бывший СССР
66	Косметолог сделала операцию по уменьшению щек и осталась с волдырями во рту	https://lenta.ru/news/2022/12/25/plastic/	Sun, 25 Dec 2022 14:09:00 +0300	Ценности
67	Умер бывший главнокомандующий сухопутными войсками ВС РФ	https://lenta.ru/news/2022/12/25/maslov/	Sun, 25 Dec 2022 14:03:00 +0300	Россия
68	Минобороны доложило о разбитом месте дислокации наемников вблизи Артемовска	https://lenta.ru/news/2022/12/25/artemovsk_kk/	Sun, 25 Dec 2022 13:59:00 +0300	Россия
69	В ЛНР заявили о переброске подкрепления ВСУ под Сватово	https://lenta.ru/news/2022/12/25/perebroska/	Sun, 25 Dec 2022 13:52:00 +0300	Россия
70	Российские военные поразили две ротные группы ВСУ на южно-донецком направлении	https://lenta.ru/news/2022/12/25/vsu_rus/	Sun, 25 Dec 2022 13:50:00 +0300	Россия
71	Левандовски оценил победу Месси на чемпионате мира-2022	https://lenta.ru/news/2022/12/25/robert/	Sun, 25 Dec 2022 13:48:00 +0300	Спорт
72	Появились кадры подготовки танков «Армата» в зоне СВО	https://lenta.ru/news/2022/12/25/armata/	Sun, 25 Dec 2022 13:42:00 +0300	Наука и техника
73	В Минобороны назвали потери ВСУ на купянском направлении	https://lenta.ru/news/2022/12/25/napravlenie/	Sun, 25 Dec 2022 13:36:00 +0300	Мир
74	Российские военные сбили пять беспилотников ВСУ в ЛНР, ДНР и Запорожской области	https://lenta.ru/news/2022/12/25/vsu_minus/	Sun, 25 Dec 2022 13:32:00 +0300	Россия
75	Российские военные уничтожили украинские РСЗО «Ураган» и «Град»	https://lenta.ru/news/2022/12/25/sever_rszo/	Sun, 25 Dec 2022 13:30:00 +0300	Россия
76	Российские войска поразили две ротные группы ВСУ на краснолиманском направлении	https://lenta.ru/news/2022/12/25/2rot/	Sun, 25 Dec 2022 13:26:00 +0300	Россия
77	В Кремле назвали неприемлемыми любые потолки цен на энергоресурсы	https://lenta.ru/news/2022/12/25/peskov_potolok/	Sun, 25 Dec 2022 13:22:00 +0300	Россия
78	Песков опроверг взаимодействие России и Белоруссии против стран третьего мира	https://lenta.ru/news/2022/12/25/strana_mira/	Sun, 25 Dec 2022 13:18:00 +0300	Россия
79	Путин заявил о способности России уничтожить комплексы Patriot на Украине	https://lenta.ru/news/2022/12/25/patriot/	Sun, 25 Dec 2022 13:14:00 +0300	Россия
80	Лавров назвал главный итог 2022 года	https://lenta.ru/news/2022/12/25/lavrov_lavrov/	Sun, 25 Dec 2022 13:12:00 +0300	Мир
81	Оценены перспективы сокращения добычи нефти Россией	https://lenta.ru/news/2022/12/25/perspektivy/	Sun, 25 Dec 2022 13:10:00 +0300	Экономика
82	Турция обвинила Францию в поддержке террористов	https://lenta.ru/news/2022/12/25/terror/	Sun, 25 Dec 2022 13:06:00 +0300	Мир
83	В Кремле назвали абсурдной обеспокоенность Германии визитом Путина в Минск	https://lenta.ru/news/2022/12/25/peskov/	Sun, 25 Dec 2022 13:03:00 +0300	Россия
84	Лукашенко вылетел в Санкт-Петербург на неформальный саммит глав СНГ	https://lenta.ru/news/2022/12/25/lukashenko_piter/	Sun, 25 Dec 2022 13:02:00 +0300	Бывший СССР
85	Путин ответил на вопрос о приближении России к опасной черте на Украине	https://lenta.ru/news/2022/12/25/cherta/	Sun, 25 Dec 2022 13:00:00 +0300	Россия
86	Российский военный взорвал гранату во время массовой драки	https://lenta.ru/news/2022/12/25/drakaa/	Sun, 25 Dec 2022 12:58:00 +0300	Россия
87	Путин назвал объединение русского народа целью Российской Федерации	https://lenta.ru/news/2022/12/25/putin/	Sun, 25 Dec 2022 12:51:00 +0300	Россия
88	Путин назвал принцип политики оппонентов России	https://lenta.ru/news/2022/12/25/razdelvlast/	Sun, 25 Dec 2022 12:47:00 +0300	Россия
89	Капелло назвал идиотом вратаря сборной Аргентины по футболу	https://lenta.ru/news/2022/12/25/kapello/	Sun, 25 Dec 2022 12:47:00 +0300	Спорт
90	Путин заявил о растаскивании исторической России	https://lenta.ru/news/2022/12/25/rastash_rus/	Sun, 25 Dec 2022 12:46:00 +0300	Россия
91	Путин заявил о готовности к переговорам со всеми сторонами конфликта на Украине	https://lenta.ru/news/2022/12/25/peregovory/	Sun, 25 Dec 2022 12:45:00 +0300	Россия
92	Госкомиссия Китая перестала давать данные о зараженных коронавирусом	https://lenta.ru/news/2022/12/25/covid/	Sun, 25 Dec 2022 12:31:00 +0300	Мир
93	Пригожин навестил в больнице пострадавшего при теракте главу Русского дома	https://lenta.ru/news/2022/12/25/prigozhin_sytiy/	Sun, 25 Dec 2022 12:28:00 +0300	Мир
94	Новак оценил возможность ремонта «Северных потоков»	https://lenta.ru/news/2022/12/25/novak_potok/	Sun, 25 Dec 2022 12:27:00 +0300	Экономика
