title,link,published,category
Лавров назвал главный итог 2022 года,https://lenta.ru/news/2022/12/25/lavrov_lavrov/,"Sun, 25 Dec 2022 13:12:00 +0300",Мир
Оценены перспективы сокращения добычи нефти Россией,https://lenta.ru/news/2022/12/25/perspektivy/,"Sun, 25 Dec 2022 13:10:00 +0300",Экономика
Турция обвинила Францию в поддержке террористов,https://lenta.ru/news/2022/12/25/terror/,"Sun, 25 Dec 2022 13:06:00 +0300",Мир
В Кремле назвали абсурдной обеспокоенность Германии визитом Путина в Минск,https://lenta.ru/news/2022/12/25/peskov/,"Sun, 25 Dec 2022 13:03:00 +0300",Россия
Лукашенко вылетел в Санкт-Петербург на неформальный саммит глав СНГ,https://lenta.ru/news/2022/12/25/lukashenko_piter/,"Sun, 25 Dec 2022 13:02:00 +0300",Бывший СССР
Путин ответил на вопрос о приближении России к опасной черте на Украине,https://lenta.ru/news/2022/12/25/cherta/,"Sun, 25 Dec 2022 13:00:00 +0300",Россия
Российский военный взорвал гранату во время массовой драки,https://lenta.ru/news/2022/12/25/drakaa/,"Sun, 25 Dec 2022 12:58:00 +0300",Россия
Путин назвал объединение русского народа целью Российской Федерации,https://lenta.ru/news/2022/12/25/putin/,"Sun, 25 Dec 2022 12:51:00 +0300",Россия
Путин назвал принцип политики оппонентов России,https://lenta.ru/news/2022/12/25/razdelvlast/,"Sun, 25 Dec 2022 12:47:00 +0300",Россия
Капелло назвал идиотом вратаря сборной Аргентины по футболу,https://lenta.ru/news/2022/12/25/kapello/,"Sun, 25 Dec 2022 12:47:00 +0300",Спорт
Путин заявил о растаскивании исторической России,https://lenta.ru/news/2022/12/25/rastash_rus/,"Sun, 25 Dec 2022 12:46:00 +0300",Россия
Путин заявил о готовности к переговорам со всеми сторонами конфликта на Украине,https://lenta.ru/news/2022/12/25/peregovory/,"Sun, 25 Dec 2022 12:45:00 +0300",Россия
Госкомиссия Китая перестала давать данные о зараженных коронавирусом,https://lenta.ru/news/2022/12/25/covid/,"Sun, 25 Dec 2022 12:31:00 +0300",Мир
Пригожин навестил в больнице пострадавшего при теракте главу Русского дома,https://lenta.ru/news/2022/12/25/prigozhin_sytiy/,"Sun, 25 Dec 2022 12:28:00 +0300",Мир
Новак оценил возможность ремонта «Северных потоков»,https://lenta.ru/news/2022/12/25/novak_potok/,"Sun, 25 Dec 2022 12:27:00 +0300",Экономика
В России призвали больше строить СПГ-заводов,https://lenta.ru/news/2022/12/25/new_zavod/,"Sun, 25 Dec 2022 12:16:00 +0300",Экономика
Илон Маск заявил об отсутствии угрозы банкротства Twitter,https://lenta.ru/news/2022/12/25/masktwit/,"Sun, 25 Dec 2022 12:05:00 +0300",Интернет и СМИ
Вероятность ЕС попасть в газовую зависимость от Катара оценили,https://lenta.ru/news/2022/12/25/depends/,"Sun, 25 Dec 2022 11:59:00 +0300",Мир
Исследователи выяснили отношение Армении к притоку россиян в страну,https://lenta.ru/news/2022/12/25/armenia_pritok/,"Sun, 25 Dec 2022 11:57:00 +0300",Бывший СССР
Тренер сборной России оценил второе место Овечкина в рейтинге снайперов НХЛ,https://lenta.ru/news/2022/12/25/jamnov/,"Sun, 25 Dec 2022 11:52:00 +0300",Спорт
В Севастополе из моря выловили забывшую свое имя девушку,https://lenta.ru/news/2022/12/25/more_imya/,"Sun, 25 Dec 2022 11:38:00 +0300",Россия
